; dna-pattern  -v 1 -pl $RSAT/public_html/tmp/apache/2023/03/28/dna-pattern_2023-03-28.153012_UGw0Ts.pat -i $RSAT/public_html/tmp/apache/2023/03/28/tmp_sequence_2023-03-28.153012_SvLvGn.fasta -format fasta -return sites -origin -0 -N 4 -return limits -noov -1str -subst 1
; Citation: van Helden et al. (2000). Yeast 16(2), 177-187.
; Input file           	$RSAT/public_html/tmp/apache/2023/03/28/tmp_sequence_2023-03-28.153012_SvLvGn.fasta
; Input format         	fasta
; Pattern file         	$RSAT/public_html/tmp/apache/2023/03/28/dna-pattern_2023-03-28.153012_UGw0Ts.pat
; Search method        	IUPAC
; Threshold            	0
; Allowed substitutions	1
; Return fields
;                     	limits
;                     	sites
; Patterns
; 	seq	id	score
; 	CCWGG	CCWGG	1
; 
; Matching positions
; PatID	Strand	Pattern	SeqID	Start	End	matching_seq	Score
START_END	DR	-	seq_1	0	-1	-	0.00
START_END	DR	-	seq_2	-5	-1	-	0.00
START_END	DR	-	seq_3	-5	-1	-	0.00
START_END	DR	-	seq_4	-5	-1	-	0.00
START_END	DR	-	seq_5	-5	-1	-	0.00
START_END	DR	-	seq_6	-5	-1	-	0.00
START_END	DR	-	seq_7	-5	-1	-	0.00
START_END	DR	-	seq_8	-5	-1	-	0.00
START_END	DR	-	seq_9	-5	-1	-	0.00
START_END	DR	-	seq_10	-5	-1	-	0.00
START_END	DR	-	seq_11	-5	-1	-	0.00
START_END	DR	-	seq_12	-5	-1	-	0.00
START_END	DR	-	seq_13	-5	-1	-	0.00
START_END	DR	-	seq_14	-5	-1	-	0.00
START_END	DR	-	seq_15	-5	-1	-	0.00
START_END	DR	-	seq_16	-5	-1	-	0.00
START_END	DR	-	seq_17	-5	-1	-	0.00
START_END	DR	-	seq_18	-5	-1	-	0.00
START_END	DR	-	seq_19	-5	-1	-	0.00
START_END	DR	-	seq_20	-5	-1	-	0.00
START_END	DR	-	seq_21	-5	-1	-	0.00
START_END	DR	-	seq_22	-5	-1	-	0.00
START_END	DR	-	seq_23	-5	-1	-	0.00
START_END	DR	-	seq_24	-5	-1	-	0.00
START_END	DR	-	seq_25	-5	-1	-	0.00
START_END	DR	-	seq_26	-5	-1	-	0.00
START_END	DR	-	seq_27	-5	-1	-	0.00
START_END	DR	-	seq_28	-5	-1	-	0.00
START_END	DR	-	seq_29	-5	-1	-	0.00
START_END	DR	-	seq_30	-5	-1	-	0.00
